IDs;Initial Pvalue;Adjusted Pvalue;Fold Change
FCSP3;0.00803;0.01851;0.076
GGI7;0.00835;0.01921;-0.035
EState_VSA1;0.00842;0.01931;0.000
ATSC0m;0.00882;0.02015;-0.034
ATS6Z;0.00909;0.02070;-0.036
GGI9;0.00931;0.02112;-0.036
SMR_VSA4;0.00951;0.02152;-0.027
SlogP_VSA5;0.01241;0.02799;-0.035
ATS1dv;0.01256;0.02822;-0.037
ATSC0Z;0.01324;0.02966;-0.033
ATS5m;0.01375;0.03064;-0.035
ZMIC1;0.01377;0.03064;-0.033
SsCH3;0.01449;0.03215;-0.040
ATS6m;0.01483;0.03280;-0.035
ATSC1p;0.01508;0.03325;0.026
GGI2;0.01661;0.03651;-0.035
IC2;0.01802;0.03948;-0.046
SsNH2;0.01906;0.04162;-0.009
ATSC8d;0.01947;0.04239;-0.010
MIC1;0.02109;0.04578;0.044
ATS7dv;0.02145;0.04641;-0.036
IC1;0.02237;0.04826;-0.022
PEOE_VSA10;0.02422;0.05209;-0.031
PEOE_VSA12;0.02470;0.05297;-0.031
ATS4dv;0.02543;0.05436;-0.034
ATS0Z;0.02844;0.06061;-0.033
TopoPSA;0.03035;0.06447;0.001
ATS0m;0.03259;0.06902;-0.032
SsssCH;0.03452;0.07290;0.005
SMR_VSA5;0.04932;0.10383;-0.031
TopoPSA_NO_;0.05105;0.10716;-0.001
NssNH;0.05458;0.11422;-0.022
GGI8;0.05564;0.11610;-0.030
nHBDon;0.05793;0.12052;0.005
Xc_5d;0.06207;0.12875;-0.033
SdNH;0.06487;0.13415;-0.035
ATSC2d;0.06867;0.14160;-0.008
ATS8dv;0.07114;0.14626;-0.032
ZMIC2;0.07177;0.14712;-0.028
NsCH3;0.07215;0.14747;-0.030
NdNH;0.07551;0.15344;-0.037
SMR_VSA2;0.07551;0.15344;-0.037
SlogP_VSA3;0.07859;0.15923;-0.031
SMR_VSA9;0.08527;0.17176;-0.042
SlogP_VSA11;0.08527;0.17176;-0.042
ATSC2Z;0.09302;0.18684;0.004
NsssCH;0.09451;0.18928;-0.027
PEOE_VSA9;0.10394;0.20757;0.012
JGI6;0.11373;0.22649;-0.006
nBase;0.11828;0.23488;-0.035
ZMIC4;0.12037;0.23835;-0.032
ATSC0dv;0.12365;0.24416;-0.029
ATSC2m;0.12582;0.24773;0.005
ATSC4dv;0.13341;0.26194;-0.021
ATS6dv;0.13866;0.27150;-0.031
ATSC7Z;0.14331;0.27981;0.017
ATSC8i;0.14408;0.28053;-0.016
C2SP3;0.14819;0.28773;-0.031
GGI5;0.15296;0.29617;-0.026
ZMIC3;0.15644;0.30207;-0.025
nHBAcc;0.16189;0.31134;-0.006
ZMIC5;0.16213;0.31134;-0.030
ATSC7m;0.16564;0.31722;0.017
SaaNH;0.16773;0.32034;-0.033
ATS5dv;0.17221;0.32596;-0.029
NaaNH;0.17347;0.32596;-0.035
NdO;0.17310;0.32596;-0.009
n5aRing;0.17347;0.32596;-0.035
naHRing;0.17347;0.32596;-0.035
n5aHRing;0.17347;0.32596;-0.035
ATSC4v;0.23067;0.43112;-0.002
C1SP2;0.23051;0.43112;-0.011
ATSC5i;0.25270;0.47104;0.003
ATS0dv;0.25654;0.47692;-0.027
ATSC7p;0.27212;0.50455;0.016
SlogP_VSA1;0.28060;0.51889;-0.018
nHetero;0.32525;0.59987;-0.011
NaaaC;0.34084;0.60731;-0.022
NsSH;0.33359;0.60731;0.000
SaaaC;0.34084;0.60731;-0.021
SsSH;0.33359;0.60731;0.000
PEOE_VSA11;0.34145;0.60731;-0.020
SlogP_VSA8;0.34084;0.60731;-0.022
nFRing;0.34084;0.60731;-0.022
n9FRing;0.34084;0.60731;-0.022
nFHRing;0.34084;0.60731;-0.022
n9FHRing;0.34084;0.60731;-0.022
nFaRing;0.34084;0.60731;-0.022
n9FaRing;0.34084;0.60731;-0.022
nFaHRing;0.34084;0.60731;-0.022
n9FaHRing;0.34084;0.60731;-0.022
PEOE_VSA4;0.34696;0.61555;0.040
Mv;0.34819;0.61617;-0.018
nS;0.35108;0.61971;0.040
ATSC2dv;0.38208;0.67273;-0.020
nBondsD;0.38558;0.67549;-0.011
NdssC;0.38558;0.67549;-0.011
SaaN;0.45229;0.79038;-0.020
NaaN;0.46369;0.80827;-0.020
ATSC6d;0.46932;0.81606;0.003
ATSC2p;0.48394;0.83940;0.004
ATSC6Z;0.50442;0.87274;0.009
SlogP_VSA2;0.53083;0.91618;-0.023
PEOE_VSA1;0.53926;0.92844;-0.010
Xc_3d;0.57418;0.98613;-0.022
nSpiro;1.00000;1.00000;0.000
nBridgehead;1.00000;1.00000;0.000
nB;1.00000;1.00000;0.000
nP;1.00000;1.00000;0.000
nF;1.00000;1.00000;0.000
nCl;1.00000;1.00000;0.000
nBr;1.00000;1.00000;0.000
nI;1.00000;1.00000;0.000
nX;1.00000;1.00000;0.000
ATSC6m;0.68841;1.00000;0.007
ATSC1v;0.78459;1.00000;-0.022
ATSC2v;0.63019;1.00000;0.016
ATSC7v;0.61520;1.00000;0.007
ATSC5p;0.89050;1.00000;-0.023
ATSC8p;0.68311;1.00000;0.018
nBondsT;1.00000;1.00000;0.000
C1SP1;1.00000;1.00000;0.000
C2SP1;1.00000;1.00000;0.000
C4SP3;1.00000;1.00000;0.000
Xch_3d;1.00000;1.00000;0.000
Xch_4d;1.00000;1.00000;0.000
