;Unnamed: 0;flavordb_id;smiles;applicability_domain;bitter_prob;sweet_prob;SMILES_check;Std_SMILES;Parent_SMILES
2425;2721;7957;CC(C)CC(CC(C)C)O;True;0.2891914368329616;0.6214051833241104;CC(C)CC(O)CC(C)C;CC(C)CC(O)CC(C)C;CC(C)CC(O)CC(C)C
2426;2723;23671663;CC(C(=O)[O-])O.[K+];True;0.3299326751098335;0.1499850501607056;CC(O)C(=O)[O-].[K+];CC(O)C(=O)[O-].[K+];CC(O)C(=O)[O-].[K+]
2427;2724;8655;COC1=CC(=CC(=C1O)OC)C=O;True;0.2728960823107579;0.6850318806290017;COc1cc(C=O)cc(OC)c1O;COc1cc(C=O)cc(OC)c1O;COc1cc(C=O)cc(OC)c1O
2428;2725;5318734;CC(=C1CCC2(CCCC(C2C1)(C)O)C)C;True;0.5101159512961875;0.6308358240060431;CC(C)=C1CCC2(C)CCCC(C)(O)C2C1;CC(C)=C1CCC2(C)CCCC(C)(O)C2C1;CC(C)=C1CCC2(C)CCCC(C)(O)C2C1
2429;2727;10856614;CC1=CCCC2(C1CC(CC2)C(=C)C)C;True;0.4568581349206349;0.2426043250189854;C=C(C)C1CCC2(C)CCC=C(C)C2C1;C=C(C)C1CCC2(C)CCC=C(C)C2C1;C=C(C)C1CCC2(C)CCC=C(C)C2C1
2430;2728;109332;CC1CCC2CC1SC2(C)C;True;0.1805196889939649;0.8972646650461527;CC1CCC2CC1SC2(C)C;CC1CCC2CC1SC2(C)C;CC1CCC2CC1SC2(C)C
2431;2729;1103;C(CCNCCCN)CNCCCN;True;0.5931657958899338;0.0002920674567791;NCCCNCCCCNCCCN;NCCCNCCCCNCCCN;NCCCNCCCCNCCCN
2432;2730;106997;CCC1(C(C2CCC1(C2)C)(C)C)O;True;0.5009876405292153;0.3452320447675867;CCC1(O)C2(C)CCC(C2)C1(C)C;CCC1(O)C2(C)CCC(C2)C1(C)C;CCC1(O)C2(C)CCC(C2)C1(C)C
2433;2732;68960;CC(C)CN=C=S;True;0.6569978632478631;1.4455548685602696e-05;CC(C)CN=C=S;CC(C)CN=C=S;CC(C)CN=C=S
2434;2733;77840;C=CC1=NC=CN=C1;True;0.7769644070682564;0.0488084317619424;C=Cc1cnccn1;C=Cc1nccnc1;C=Cc1nccnc1
2435;2734;65288;CCC(=O)C1=NC=CS1;True;0.4108543761951727;0.5639938778135459;CCC(=O)c1nccs1;CCC(=O)c1nccs1;CCC(=O)c1nccs1
2436;2735;29096;CC(CCCC(C)(C)O)C=C;True;0.1740016816720462;0.7739935869376009;C=CC(C)CCCC(C)(C)O;C=CC(C)CCCC(C)(C)O;C=CC(C)CCCC(C)(C)O
2437;2736;11509;CCCC(=O)CC;True;0.0334179380414241;0.9921979351255916;CCCC(=O)CC;CCCC(=O)CC;CCCC(=O)CC
2438;2737;61005;CC(C)C(=O)OCCOC1=CC=CC=C1;True;0.0583136958684306;0.4474791731852594;CC(C)C(=O)OCCOc1ccccc1;CC(C)C(=O)OCCOc1ccccc1;CC(C)C(=O)OCCOc1ccccc1
2439;2738;673160;CCOC1=C(C=CC(=C1)C=O)OC(=O)C(C)C;True;0.1472043345051741;0.6950220876447585;CCOc1cc(C=O)ccc1OC(=O)C(C)C;CCOc1c(OC(=O)C(C)C)ccc(C=O)c1;CCOc1c(OC(=O)C(C)C)ccc(C=O)c1
2440;2739;326;CC(C)C1=CC=C(C=C1)C=O;True;0.2089312359992515;0.8955456218759077;CC(C)c1ccc(C=O)cc1;CC(C)c1ccc(C=O)cc1;CC(C)c1ccc(C=O)cc1
2441;2740;332;COC1=C(C=CC(=C1)C=C)O;True;0.098264895991922;0.7154923767117836;C=Cc1ccc(O)c(OC)c1;C=Cc1cc(OC)c(O)cc1;C=Cc1cc(OC)c(O)cc1
2442;2741;16299;CCCCCOC(=O)C1=CC=CC=C1O;True;0.1359638744147809;0.5856119250410524;CCCCCOC(=O)c1ccccc1O;CCCCCOC(=O)c1ccccc1O;CCCCCOC(=O)c1ccccc1O
2443;2742;454;CCCCCCCC=O;True;0.2025869804683977;0.6851455579821767;CCCCCCCC=O;CCCCCCCC=O;CCCCCCCC=O
2444;2743;6877;CCOC(=O)C1=CC=CC=C1N;True;0.1881174895456501;0.692519254863949;CCOC(=O)c1ccccc1N;CCOC(=O)c1ccccc1N;CCOC(=O)c1ccccc1N
2445;2744;24203;OP(=O)([O-])[O-].[Na+].[Na+];True;0.4842357142857143;0.8007886206452306;O=P([O-])([O-])O.[Na+].[Na+];O=P([O-])([O-])O.[Na+].[Na+];O=P([O-])([O-])O.[Na+].[Na+]
2446;2745;7599;COC1=CC=C(C=C1)COC(=O)CC2=CC=CC=C2;True;0.1861617818049109;0.6003528511078362;COc1ccc(COC(=O)Cc2ccccc2)cc1;COc1ccc(COC(=O)Cc2ccccc2)cc1;COc1ccc(COC(=O)Cc2ccccc2)cc1
2447;2746;15801179;CC(=O)C1CCC=N1;True;0.2762159017273842;0.9603269762517398;CC(=O)C1CCC=N1;CC(=O)C1CCC=N1;CC(=O)C1CCC=N1
2448;2747;5367679;CCCC=CC(=O)OCCC=CCC;True;0.0433492020751716;0.9164452386534498;CCC=CCCOC(=O)C=CCCC;CCC=CCCOC(=O)C=CCCC;CCC=CCCOC(=O)C=CCCC
2449;2750;5366203;CCCCC(C=CC)O;True;0.1711138510648411;0.9740028941185004;CC=CC(O)CCCC;CC=CC(O)CCCC;CC=CC(O)CCCC
2450;2751;61985;CCCCCCCC(=O)OCC1=CC=CO1;True;0.0523326754405417;0.8674067716090519;CCCCCCCC(=O)OCc1ccco1;CCCCCCCC(=O)OCc1ccco1;CCCCCCCC(=O)OCc1ccco1
2451;2752;62240;CCC(C)(C)C1CCCCC1OC(=O)C;True;0.2131704585370779;0.9505594349069244;CCC(C)(C)C1CCCCC1OC(C)=O;CCC(C)(C)C1CCCCC1OC(C)=O;CCC(C)(C)C1CCCCC1OC(C)=O
2452;2753;61007;CC(=O)CCC1=CC=C(C=C1)OC;True;0.0531356710420456;0.9422686428913368;COc1ccc(CCC(C)=O)cc1;COc1ccc(CCC(C)=O)cc1;COc1ccc(CCC(C)=O)cc1
2453;2754;22833389;CCCCCCCCCCCC(=O)OCC(C1C(C(CO1)OCCO)OCCO)O;True;0.8466666666666667;0.0434641455526689;CCCCCCCCCCCC(=O)OCC(O)C1OCC(OCCO)C1OCCO;CCCCCCCCCCCC(=O)OCC(O)C1OCC(OCCO)C1OCCO;CCCCCCCCCCCC(=O)OCC(O)C1OCC(OCCO)C1OCCO
2454;2755;30248;CC1CCC(CC1OC(=O)C)C(=C)C;True;0.0856228788087896;0.8284037761540372;C=C(C)C1CCC(C)C(OC(C)=O)C1;C=C(C)C1CCC(C)C(OC(C)=O)C1;C=C(C)C1CCC(C)C(OC(C)=O)C1
2455;2756;8858;CC(=CC(=O)C)C;True;0.0459944576220649;0.952139952097118;CC(=O)C=C(C)C;CC(=O)C=C(C)C;CC(=O)C=C(C)C
2456;2757;5352830;CCCCCC=CCCCOC(=O)C;True;0.1865361935417858;0.9046363393937642;CCCCCC=CCCCOC(C)=O;CCCCCC=CCCCOC(C)=O;CCCCCC=CCCCOC(C)=O
2457;2759;6435839;CCCCCCCOC(=O)C=CC1=CC=CC=C1;True;0.1033804228483424;0.778037913076315;CCCCCCCOC(=O)C=Cc1ccccc1;CCCCCCCOC(=O)C=Cc1ccccc1;CCCCCCCOC(=O)C=Cc1ccccc1
2458;2760;2346;C1=CC=C(C=C1)CN=C=S;True;0.7129216935466935;0.0001745518991647;S=C=NCc1ccccc1;S=C=NCc1ccccc1;S=C=NCc1ccccc1
2459;2762;101750;CC(=CCCC1=CCC(CC1)C(=C)CCC=C(C)C)C;True;0.5780585106382978;0.273128303194769;C=C(CCC=C(C)C)C1CC=C(CCC=C(C)C)CC1;C=C(CCC=C(C)C)C1CC=C(CCC=C(C)C)CC1;C=C(CCC=C(C)C)C1CC=C(CCC=C(C)C)CC1
